"image","title","price","location_info","description","coordinates"
"https://scontent.famd5-1.fna.fbcdn.net/v/t39.30808-6/467705362_2743438279163250_8817337779717188655_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=5-NmJpFPhWoQ7kNvgHEB2AW&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=A-eCQxluYSYArsrIAjasWM0&oh=00_AYB4f8v3ZEaeVS3jdRxuPdZvuT8RV5S1tOu2f_p6mzj47Q&oe=676B3F03","Townhouse for rent","$900/month","New Britain, CTListed over a week ago","One bedroom apartment for rent, bright and clean. Located on the 3rd Floor, excellent location close to Walnut Hill Park and many more attractions pet friendly Rent:$900/Mo1bed 1bath 2,394sqft19 Emmons Pl #B, New Britain, CT 06052","41.657293899917,-72.804431603226"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/434194721_7638031296247134_4009496774994598187_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=l2Axp3aeS7QQ7kNvgFXGaAt&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=ATmMyR7m7m6lMKNNLXUHnda&oh=00_AYDMjYprGZa9jCWXT6ciFmIwrROXkcHgdxkh6x9Z4BXbbw&oe=676B491C","3 Beds 1 Bath - House","$2,500/month","New Britain, CTListed over a week ago · Available now","This is a HUGE Newly Renovated 2 FAMILY HOUSE. Comes with in-unit Laundry. This section is upstairs. You have a front and side entrance. This is located in good part of New Britain, a very quiet and lovely neighborhood. Hospitals, schools, mall, stores are close by and it is 5 mins from the Highway.NO PETS ALLOWEDHouse uses Oil for heat.(275 gallon)Let us know if you have any other questions.","41.65859,-72.78809"
"https://scontent.famd5-1.fna.fbcdn.net/v/t45.5328-4/375261159_24615702684695730_406534502550770422_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=2d1_CS1Zb70Q7kNvgFaZVfP&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=AQ2i45sNbqDi_phF4sMg5bO&oh=00_AYAmikUm9H0G8FY599Kh3Mj9Ovx7KK_ReITO5rcasvqzPQ&oe=676B26AF","1 Bed 1 Bath - Apartment","$1,250/month","New Britain, CTListed over a week ago","ALL utilities included in the rental cost: central air/heat, internet, water. Apartment has a private entrance with alarm. Furnished bedroom and living room with a small kitchenette; bathroom with bathtub/shower. Very nice and quiet area; Close to highways and stores. Preferably for one person with stable income, no pets. Available now.","41.65,-72.7954"
"https://scontent.famd5-2.fna.fbcdn.net/v/t39.30808-6/470138287_10228168971516246_8084788750967841619_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=OxIpqaG0hZ4Q7kNvgHzb7f9&_nc_zt=23&_nc_ht=scontent.famd5-2.fna&_nc_gid=ABUvt6EpmO2WLRzzBkQyKBV&oh=00_AYDIS-U5trw353h9tDR6yO8pIzJfjOKkcMxFw1-sN4W0HQ&oe=676B3DB8","1 Bed 1 Bath - Apartment","$1,150/month","56 Wilcox St, New Britain, CTListed over a week ago · Available on 2025/01/01","1 bedroom on 2nd floor apartment available January 1, 2025 for $1,150 monthly. Rent includes heat, cooking gas and hot water. Tenant pays electric, laundry in the building, one parking space. No pets allowed. No smoking. One year lease. Income, credit and background  verification, min credit score of 640. 2 months of security deposit, plus first month of rent to move in. ","41.67864,-72.77725"
"https://scontent.famd5-4.fna.fbcdn.net/v/t45.5328-4/469358492_2098543130602035_319539907600562594_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=ZjGde--kLm8Q7kNvgE7sGSL&_nc_zt=23&_nc_ht=scontent.famd5-4.fna&_nc_gid=ASe5wGlYMoCxeqC6_a7cu3G&oh=00_AYAbKJrIaSfg7Ut8or3yvvivf8E6GNBmsgY0qfbudDmNiw&oe=676B5323","2 Beds 2 Baths House","$980/month","Meriline Ave, West Hartford, CTListed over a week ago · Available now","Rento habitacion compartiendo cocina y areas comunes llamame para mas informacion[hidden information]","41.72884,-72.7167"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/464873552_10224930326833017_4573473709474662410_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=igMfrMzhr_0Q7kNvgFqdeuX&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=Ac9u47TRjpnckJ8Y4p-Zzl0&oh=00_AYCpQ5GZ3Z9V3MTnmfpR7toGm8iFAu9FqZ-e6hfmDPw5lQ&oe=676B33D7","3 Beds 1 Bath - House","$2,100/month","New Britain, CTListed over a week ago · Available now","Beautiful 3 bds w/ 1bath. Immediately you will enjoy a sunroom with patio and fully renovated unit. Call us now to schedule a showing!  [hidden information]","41.65417,-72.77815"
"https://scontent.famd5-1.fna.fbcdn.net/v/t39.30808-6/465084112_9695688373781351_6073362983907983519_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=UvDlUDEU6WoQ7kNvgGI71_o&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=AQDwA26IvGSxRAKYbytRWBM&oh=00_AYA2Mgl5WL0OnkNTdvkcB9GNXYREHiP_HFLi8MivbhVbJA&oe=676B4C63","3 Beds 1 Bath - House","$2,300/month","New Britain, CTListed over a week ago","Very private ranch plus over three car garage plus huge driveway, no section 8, Note: Proof of income","41.668399641991,-72.782267326948"
"https://scontent.famd5-1.fna.fbcdn.net/v/t39.30808-6/470232418_10103228352662409_6959479670643439982_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=SaYGknzDQdAQ7kNvgFFAmME&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=ATiC_j4gJvmS3IvxNjyGGHd&oh=00_AYCTAdUouPfkvb_LiY6afvim89gq8i4XCToaw4g2XzQnMg&oe=676B4650","1 Bed 1 Bath - Apartment","$1,475/month","169 Newington Rd, West Hartford, CTListed over a week ago · Available now","One bedroom West Hartford apartment. Heat and hot water included. First month + one month security upon signing. One parking spot.","41.72683,-72.73384"
"https://scontent.famd5-3.fna.fbcdn.net/v/t45.5328-4/464765159_1344415903198227_4319393947652290396_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=kRS6BO1COngQ7kNvgGbiFDh&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=A-PVpmMOHuP0OqNrzBM783z&oh=00_AYCA8vp21CA2s_g6d4ZOprdwNmX68qm3vERbO9pyN-TMXQ&oe=676B43B4","2 Beds 1 Bath Apartment/condo","$1,400/month","Vance St, New Britain, CTListed over a week ago · Available now","Welcome to this freshly painted, third-floor two-bedroom apartment in New Britain, CT! With an open floor plan, natural lighting, and hardwood floors, this home is designed for comfort and style. The kitchen has brand-new granite countertops and kitchen sink, while the large bathroom includes a double sink for added convenience. Off-street parking, basement washer/dryer hookups. Ready to move-in! Good credit required; must pass credit and background check. Schedule your tour today and make this inviting space your new home!","41.65665,-72.79246"
"https://scontent.famd5-1.fna.fbcdn.net/v/t45.5328-4/464689454_1086777049504797_1117167255023933623_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=0mCsa5daLBEQ7kNvgF5i8ew&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=AcZ0JvBlM3n6m9nC3moBRcs&oh=00_AYCFloQRaBW2q1All-sm3pKyGWqGoLxN4GPHA-H77wndKw&oe=676B1DC8","2 Beds 1 Bath Apartment/condo","$1,500/month","Columbia St, New Britain, CTListed over a week ago · Available now","2-Bedroom Apartment with Private Balcony - Move-In Ready! This spacious second-floor apartment is ready for you! It features two bedrooms, a kitchen with granite countertops and a large pantry, and a front balcony perfect for relaxing any time of day. The unit is freshly cleaned and move-in ready. Additional perks include one parking spot in the back and access to a shared backyard. Good credit is required, and a credit and background check will be conducted.","41.65769,-72.78846"
