"image","title","price","location_info","description","coordinates"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/470179523_1084514366480264_7580212163433215541_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Kri9JvwTPvUQ7kNvgGHuVgP&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=AbkmcGN0inZeQMHu5dR-8HH&oh=00_AYDfurBCrWrZeNS_O2vaRw4--t_KGEH4Qcw5O7e3e_X8Bg&oe=676B2C7D","2 Beds 1 Bath - Apartment","$1,600/month","New Britain, CTListed 6 days ago","2 bedroom 1 bathroom apartment available for $1650Property offers:Gym on sitePlayground on siteShared laundry roomWell maintained buildings with great full time maintenance crewRequirements:- you MUST make 3x the rent- no felonies in last 7 years- no evictions- credit score above 500- $50 application fee per adult applying- 2 month security deposit ","41.6733334683,-72.7877521372"
"https://scontent.famd5-1.fna.fbcdn.net/v/t39.30808-6/456331845_4636847159873839_8391396699417000158_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=VugCpCc3cJEQ7kNvgGwgiT0&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=AFT-mz0A9IG6zGP2j9rwEaz&oh=00_AYBz4Vubo7pHd9Dlr7HePG5ZGOJKWkqS5L2s-fYe2Suq3w&oe=676B2E03","Studio 1 Bath - Apartment","$3,000/month","New Britain, CTListed over a week ago · Available now","This is not an apartment it is a shop space only! 1400 sf shop space for rent. Minimum 1 year lease required brand new space with lav access plus additional 150 sf office space. Shop has 16 ft ceilings with a 14x14 power overhead door, high-bay LED lights and radiant heat. Tenant responsible for electric, owner included heat and water. Unit comes with 2 outdoor parking spots. Located near CCSU with easy access to all major highways, quiet and secure location. Property is fenced and under 24/7 video surveillance. 2 months security required and no detail shop or any kind of auto related work. High speed fiber internet already installed.","41.671135604829,-72.779661891879"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/470883922_10227484363762479_6718525492729989462_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=946e27&_nc_ohc=CbAR4zCEV_QQ7kNvgH5De8O&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=ASUOVjC3mtvpQgqKbz4S3Vt&oh=00_AYCp2p3HnQ4GwikGs6OkNmqxD_JEA_p2WvOtje88qmXw5A&oe=676B3272","1 Bed 4 Baths - Apartment","$700/month","New Britain, CTListed 2 days ago","Tengo varios cuartos grandes disponibles para rentar en una casa. Varios precios de 700-1200 por mes, dependiendo del cuarto. La renta incluye, los billes y internet. La casa esta localizada en Hartford, en la New Britain Ave. Es Mes a mes. Mas un deposito de un mesNo hay laundry","41.671135604829,-72.779661891879"
"https://video.famd5-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQOhgTUcomQv7QBVs1ytel3SclO3N73fo7OXdKqjcQebUCouYcBz-GYhK0A7U4elfukFZSeuROpDlMKWiiR86Nbv.mp4?efg=eyJ4cHZfYXNzZXRfaWQiOjc4ODExODIwMzQ1OTkzMCwidmVuY29kZV90YWciOiJ4cHZfcHJvZ3Jlc3NpdmUuRkFDRUJPT0suLkMzLjcyMC5kYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwIn0&_nc_ht=video.famd5-3.fna.fbcdn.net&_nc_cat=110&strext=1&vs=68e18ec24081cec5&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQ0lVLVJzSUFLYUVOamNDQUMwNFZMdG1CazVmYm1kakFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dFTFlBQnhZel9ZeHFhWUVBQUo0SWdpNF9yQm1ickZxQUFBRhUCAsgBACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJrSl95jCsuYCFQIoAkMzLBdAOpmZmZmZmhgZZGFzaF9oMjY0LWJhc2ljLWdlbjJfNzIwcBEAdQIA&ccb=9-4&oh=00_AYCX-0gVnlJQsoDW-1ERnIVwkl9HjAukGfVF2YPcQ7FDgw&oe=67673DCD&_nc_sid=1d576d","2 Beds 1 Bath - Apartment","$1,750/month","New Britain, CTListed over a week ago · Available now","Welcome home to this meticulously remodeled 1st floor unit in New Britain with nothing to do except move in. It features 2 bedrooms and 1 bath. Upon entry, fall in love with the beautiful kitchen, countertop, backsplash,  flooring ,and freshly painted color surfaces. It also has a washer and dryer hook up in unit to access.  It's conveniently located in a quiet neighborhood close to all major roads and highways, shopping, restaurants, and other attractions. Schedule your private showing and make this rental unit yours. Credit Check, References required, 2 months Security Deposit, Yearly Lease. Tenants are responsible for utilities , A Full Rental Application with background check + 3 recent pay stubs are a plus. Minimum income of at least 2 x monthly rent. No Smoking. No Pets Allowed.","41.68359,-72.78641"
"https://video.famd5-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQMs01LcmwEsXamwhCzrWGAbQX-bHDp5rKraN-rRxiQtaun6H1iJzC7INkxJ9aBHlDiC_BtEPh-PAYczVO87XJWP.mp4?efg=eyJ4cHZfYXNzZXRfaWQiOjQ3MDY1MDkzNTcwNDY5MSwidmVuY29kZV90YWciOiJ4cHZfcHJvZ3Jlc3NpdmUuRkFDRUJPT0suLkMzLjEyODAuZGFzaF9oMjY0LWJhc2ljLWdlbjJfNzIwcCJ9&_nc_ht=video.famd5-3.fna.fbcdn.net&_nc_cat=101&strext=1&vs=7230d60b4d3c9f20&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTGhiQ3h4YjYxbTJsQm9GQUcyWEtQNUdmSVIwYm1kakFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dNZTZEUnc3NHpmTjVzOEVBT1JkRExNVE1TVVlickZxQUFBRhUCAsgBACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJubxr92-g9YBFQIoAkMzLBdATgAAAAAAABgZZGFzaF9oMjY0LWJhc2ljLWdlbjJfNzIwcBEAdQIA&ccb=9-4&oh=00_AYChRUJawp1dwaPiMww00TKctBwfMat7s_PV15iJq_eIIw&oe=6767386C&_nc_sid=1d576d","2 Beds 1 Bath - Apartment","$1,600/month","169 Grove St, New Britain, CTCat-friendlyListed 2 days ago · Available now","Recently remodeled two bedroom one bath third floor apartment features brand new kitchen along with washer and dryer right in the unit. Beautifully refinished and stained hardwood floors, freshly painted and remodeled bathroom. Property offers electric heat with off street parking.Section 8 is welcome. Final candidate will go through a comprehensive background and credit check.   Absolutely no smoking allowed in the building or on the premises and cats are OK but dogs are not allowed.","41.67454,-72.78759"
"https://scontent.famd5-1.fna.fbcdn.net/v/t39.30808-6/470149016_28749832837949153_7753443025627034871_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=bhwZBeQRlVwQ7kNvgHnKX0p&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=A-mkn5nhZjkiFazT4g7RePR&oh=00_AYDoeXYvi4hblcdInm3qsbZfoNwKFpyYc-t9UA5HpqJ1VQ&oe=676B542F","2 Beds 1.5 Baths - Townhouse","$1,900/month","Plainville, CT1260 square feetListed over a week ago · Available now","Condo for rent at Countryside Manor in Plainville. Newly renovated, 3 floors with garage and basement as bottom floor. Large spacious kitchen, breakfast bar, half bath, and living room on second floor. Two bedrooms with closets, laundry, and Jack and Jill bathroom on third floor. Plenty of closet space on all floors.The lease is for a year and looking for $4000 security deposit as well as first month at the start of the lease. Utilities are not included, but all exterior maintenance (lawn care and snow removal) is taken care of. Also looking for a credit score of 650 or better. There is no application for the property, but there is a required prescreening done by ""Tenant Tracks"" at a fee of $35 that will be the tenants responsibility as a final step prior to signing the lease.","41.69287,-72.87182"
"https://scontent.famd5-1.fna.fbcdn.net/v/t45.5328-4/460948568_3291481950983292_748526701944371462_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=9KC4WQcgYnEQ7kNvgHS6PW4&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=AbMlAZSEDvKQlwuLBpJQdy4&oh=00_AYD1YxDFTZid35u2aI03kIYPzLn8aWWwfOEK9Mw7LYZK_g&oe=676B492F","2 Beds 1 Bath Apartment","$1,650/month","1570 Willard Ave, Newington, CT900 square feetDog and cat-friendlyListed over a week ago · Available now","Bradford Commons apartments in Newington, CT, are conveniently located near I-91, US-5, and I-84. Our Bradford Commons apartments are just minutes from downtown Hartford, and close to Churchill Park. Bradford Commons apartments come in one- and two-bedroom apartments. Come see everything our Bradford Commons apartments have to offer!2BR also available","41.66828,-72.72746"
"https://scontent.famd5-2.fna.fbcdn.net/v/t39.30808-6/470227334_9391190517558440_6773225274595937069_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=aWEQzRqrlNMQ7kNvgEQrRLy&_nc_zt=23&_nc_ht=scontent.famd5-2.fna&_nc_gid=AQT88H_KYo0GsP0hgRBkOdD&oh=00_AYCzw9XSTOyrVl-qD5I68sMMAskTYWE7eT-aLZRFUDY9xg&oe=676B24A4","2 Beds 2 Baths - Townhouse","$1,800/month","30 New Hampshire Dr, New Britain, CTListed 2 days ago · Available now","Beautiful two-bedroom townhouse is freshly painted, newer kitchen cabinets with shiny Stainley steel appliances. Available for immediate occupancy. Minimum 675 credit score required. First month's rent and two months security deposit needed. Washer and dryer available in the basement. Fully unfinished basement available as an extra storage. All utilities are the tenant responsibility. Small pets are allowed.","41.66203,-72.80875"
"https://scontent.famd5-1.fna.fbcdn.net/v/t39.30808-6/469484825_10101139638447809_4640445208587334710_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=lSUmwAvyrysQ7kNvgEQCeFR&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=A9spAHl1_QRW4Tosliyh9Ko&oh=00_AYDNSjxDklgbG4pUvs5mnPrCRYnaug2gPAYqWwEFniAVLQ&oe=676B39A9","2 Beds 1.5 Baths - Apartment","$1,500/month","Constance Ln, Bristol, CTListed over a week ago · Available on 2025/02/01","2 bedroom 1.5 bath completely remodeled for rent starting February 1st 2025. All new paint, vinyl flooring, carpet, toilets, vanities, lighting, bathtub, dishwasher, and kitchen cabinets. The countertop is back ordered for a few weeks which is why the start date is Feb 1st. Quiet neighborhood. Water is included in rent. Gas and electric are paid by renter. 2 parking spaces in lot. No central AC. Full unfinished basement with washer and dryer hookups. No smoking. No pets. ","41.68556,-72.89187"
"https://scontent.famd5-4.fna.fbcdn.net/v/t39.30808-6/467021858_10226855662597205_590057389895206091_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ZtSG-4XNevoQ7kNvgGyinT7&_nc_zt=23&_nc_ht=scontent.famd5-4.fna&_nc_gid=Af-MEocF8UCUhrvrnohxrlp&oh=00_AYDDVTjKI9cAUDp4FGoBchtjG2NOtPD4Garjgz1l2Pd-0g&oe=676B2B2E","1 Bed 1 Bath - Apartment","$1,450/month","Newington, CTListed over a week ago","Cozy One bedroom apartment on first floor in 2 family home near the heart of Newington, walking distance to Mill pond. The comfort of the suburbs on a private property with a yard with the convenience of being located in short distance to the Berlin tpke and any major highway. Off street parking. Gas heat with washer dryer located in the basement $1450 monthly rent smaller pets 30 pounds and under considered no smoking no utilities included, coming available in December","41.69049,-72.72482"
